data_file,archive_member,declared_data_file,mapping_method,meter,channel,measurement_kind,measurement_semantics,voltage_response_eligible,unit,base_element,nominal_voltage,data_status,start_time,end_time,row_count,valid_count,missing_value_count,invalid_timestamp_count,duplicate_timestamp_count,out_of_order_timestamp_count,sampling_interval_seconds,expected_timestamp_count,missing_timestamp_count,timestamp_coverage_fraction,minimum,p05,mean,median,p95,maximum,standard_deviation,per_unit_status,mean_per_unit
egauge_16-CT2,magnitudes/egauge_16-CT2.csv,egauge_16-CT2,declared_data_file,egauge_16,CT2,current_magnitude,current_magnitude,False,A,line_402,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,11.974,18.195,92.9014753185727,67.253,263.658,290.68,74.71980335561564,not_applicable,
egauge_16-CT3,magnitudes/egauge_16-CT3.csv,egauge_16-CT3,declared_data_file,egauge_16,CT3,current_magnitude,current_magnitude,False,A,line_402,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,9.952,21.967,96.58397357669472,79.798,257.643,274.623,74.84272334843006,not_applicable,
egauge_16-L1,magnitudes/egauge_16-L1.csv,egauge_16-L1,declared_data_file,egauge_16,L1,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1161,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,274.396,279.172,280.69052014444276,280.754,282.215,286.361,0.879248293006303,available,1.0133231774167608
egauge_16-L2,magnitudes/egauge_16-L2.csv,egauge_16-L2,declared_data_file,egauge_16,L2,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1161,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,274.428,279.252,280.77432557493546,280.848,282.131,287.025,0.8250937058004905,available,1.01362572409724
egauge_16-L3,magnitudes/egauge_16-L3.csv,egauge_16-L3,declared_data_file,egauge_16,L3,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1161,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,274.044,278.941,280.40335167417044,280.534,281.577,286.716,0.780602550424311,available,1.0122864681377994
egauge_16-Mains_Power,magnitudes/egauge_16-Mains_Power.csv,egauge_16-Mains_Power,declared_data_file,egauge_16,Mains_Power,real_power,real_power,False,W,line_402,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,-240.184,-222.476,-13.99688618187289,19.415,98.748,144.282,100.2239325138556,not_applicable,
egauge_16-NorthPV_A,magnitudes/egauge_16-NorthPV_A.csv,egauge_16-NorthPV_A,declared_data_file,egauge_16,NorthPV_A,current_magnitude,current_magnitude,False,A,line_428,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,0.51,0.552,68.72198827559866,0.588,262.792,271.265,98.70694147288323,not_applicable,
egauge_16-NorthPV_B,magnitudes/egauge_16-NorthPV_B.csv,egauge_16-NorthPV_B,declared_data_file,egauge_16,NorthPV_B,current_magnitude,current_magnitude,False,A,line_428,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,0.501,0.544,69.0009420955776,0.591,264.209,272.795,99.18700418716408,not_applicable,
egauge_16-NorthPV_C,magnitudes/egauge_16-NorthPV_C.csv,egauge_16-NorthPV_C,declared_data_file,egauge_16,NorthPV_C,current_magnitude,current_magnitude,False,A,line_428,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,0.534,0.574,68.63032622307611,0.612,262.826,271.4,98.68975637718165,not_applicable,
egauge_16-NorthPV_Power,magnitudes/egauge_16-NorthPV_Power.csv,egauge_16-NorthPV_Power,declared_data_file,egauge_16,NorthPV_Power,real_power,real_power,False,W,line_428,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,-0.799,-0.1,57.30500273144986,-0.082,221.705,228.198,83.70930719260505,not_applicable,
